,id,subscriber_id,booking_status,booking_date,date,month,booking_year_month,datetime_load
0,0,156,Confirmed,2021-06-05 15:10:26,2021-06-05,06,2021-06,2023-03-01 08:50:01.670725
1,1,256,Confirmed,2021-05-29 12:30:04,2021-05-29,05,2021-05,2023-03-01 08:50:01.670725
2,2,256,Canceled,2021-05-16 0:02:29,2021-05-16,05,2021-05,2023-03-01 08:50:01.670725
3,3,156,Confirmed,2021-06-05 18:35:53,2021-06-05,06,2021-06,2023-03-01 08:50:01.670725
4,4,156,Confirmed,2021-06-05 18:52:21,2021-06-05,06,2021-06,2023-03-01 08:50:01.670725
5,5,256,Confirmed,2021-06-05 19:00:06,2021-06-05,06,2021-06,2023-03-01 08:50:01.670725
6,6,256,Confirmed,2021-06-06 13:32:37,2021-06-06,06,2021-06,2023-03-01 08:50:01.670725
7,7,156,Confirmed,2020-01-13 5:45:16,2020-01-13,01,2020-01,2023-03-01 08:50:01.670725
8,8,156,Canceled,2020-07-02 21:10:51,2020-07-02,07,2020-07,2023-03-01 08:50:01.670725
9,9,256,Confirmed,2020-01-02 19:54:28,2020-01-02,01,2020-01,2023-03-01 08:50:01.670725
10,10,256,Canceled,2020-03-31 6:22:37,2020-03-31,03,2020-03,2023-03-01 08:50:01.670725
11,11,256,Confirmed,2021-03-19 19:34:26,2021-03-19,03,2021-03,2023-03-01 08:50:01.670725
12,12,256,Confirmed,2020-07-26 12:48:32,2020-07-26,07,2020-07,2023-03-01 08:50:01.670725
13,13,156,Canceled,2020-03-16 1:12:08,2020-03-16,03,2020-03,2023-03-01 08:50:01.670725
14,14,156,Canceled,2020-04-03 22:01:17,2020-04-03,04,2020-04,2023-03-01 08:50:01.670725
15,15,256,Canceled,2020-05-15 20:21:25,2020-05-15,05,2020-05,2023-03-01 08:50:01.670725
16,16,156,Confirmed,2020-08-15 19:14:10,2020-08-15,08,2020-08,2023-03-01 08:50:01.670725
17,17,156,Canceled,2020-01-11 21:43:31,2020-01-11,01,2020-01,2023-03-01 08:50:01.670725
18,18,156,Canceled,2020-05-04 11:48:53,2020-05-04,05,2020-05,2023-03-01 08:50:01.670725
19,19,256,Canceled,2020-03-10 11:01:12,2020-03-10,03,2020-03,2023-03-01 08:50:01.670725
20,20,156,Canceled,2020-07-03 7:18:09,2020-07-03,07,2020-07,2023-03-01 08:50:01.670725
21,21,256,Canceled,2021-03-18 21:12:09,2021-03-18,03,2021-03,2023-03-01 08:50:01.670725
22,22,256,Canceled,2020-03-02 20:30:28,2020-03-02,03,2020-03,2023-03-01 08:50:01.670725
23,23,156,Canceled,2020-06-08 21:04:58,2020-06-08,06,2020-06,2023-03-01 08:50:01.670725
24,24,256,Canceled,2020-02-26 10:40:11,2020-02-26,02,2020-02,2023-03-01 08:50:01.670725
25,25,156,Canceled,2020-03-29 21:30:53,2020-03-29,03,2020-03,2023-03-01 08:50:01.670725
26,26,156,Confirmed,2020-01-14 16:08:44,2020-01-14,01,2020-01,2023-03-01 08:50:01.670725
27,27,256,Canceled,2020-01-16 14:13:42,2020-01-16,01,2020-01,2023-03-01 08:50:01.670725
28,28,256,Canceled,2020-07-12 12:49:01,2020-07-12,07,2020-07,2023-03-01 08:50:01.670725
29,29,256,Canceled,2020-03-18 11:29:25,2020-03-18,03,2020-03,2023-03-01 08:50:01.670725
30,30,256,Canceled,2020-01-15 20:59:17,2020-01-15,01,2020-01,2023-03-01 08:50:01.670725
31,31,156,Canceled,2020-06-13 10:11:05,2020-06-13,06,2020-06,2023-03-01 08:50:01.670725
32,32,156,Canceled,2020-05-03 8:55:12,2020-05-03,05,2020-05,2023-03-01 08:50:01.670725
33,33,256,Canceled,2020-03-14 21:59:10,2020-03-14,03,2020-03,2023-03-01 08:50:01.670725
34,34,256,Canceled,2020-06-13 16:54:57,2020-06-13,06,2020-06,2023-03-01 08:50:01.670725
35,35,256,Canceled,2020-03-22 15:25:17,2020-03-22,03,2020-03,2023-03-01 08:50:01.670725
36,36,256,Canceled,2020-07-13 9:01:48,2020-07-13,07,2020-07,2023-03-01 08:50:01.670725
37,37,156,Canceled,2020-03-27 17:11:08,2020-03-27,03,2020-03,2023-03-01 08:50:01.670725
38,38,156,Review,2020-06-03 13:40:41,2020-06-03,06,2020-06,2023-03-01 08:50:01.670725
39,39,256,Confirmed,2021-02-25 18:46:56,2021-02-25,02,2021-02,2023-03-01 08:50:01.670725
40,40,256,Confirmed,2020-03-12 12:48:38,2020-03-12,03,2020-03,2023-03-01 08:50:01.670725
41,41,156,Canceled,2020-09-15 18:05:54,2020-09-15,09,2020-09,2023-03-01 08:50:01.670725
42,42,256,Confirmed,2020-06-07 11:56:28,2020-06-07,06,2020-06,2023-03-01 08:50:01.670725
43,43,256,Confirmed,2021-02-28 21:49:09,2021-02-28,02,2021-02,2023-03-01 08:50:01.670725
44,44,156,Canceled,2020-01-17 6:33:10,2020-01-17,01,2020-01,2023-03-01 08:50:01.670725
45,45,256,Confirmed,2020-08-24 16:05:52,2020-08-24,08,2020-08,2023-03-01 08:50:01.670725
46,46,156,Review,2021-01-03 20:24:35,2021-01-03,01,2021-01,2023-03-01 08:50:01.670725
47,47,256,Confirmed,2020-03-01 15:52:41,2020-03-01,03,2020-03,2023-03-01 08:50:01.670725
48,48,156,Canceled,2020-08-04 15:28:24,2020-08-04,08,2020-08,2023-03-01 08:50:01.670725
49,49,256,Confirmed,2020-03-18 2:27:09,2020-03-18,03,2020-03,2023-03-01 08:50:01.670725
